X,Y,NAME
228926.439499997,892631.4837,Anawan Ave @ Allenwood St
235345.721,892640.040100001,Washington St @ Burt St
234379.745300002,892641.864399999,Norfolk St opp Nelson St
237925.490500003,879280.5022,North St @ N Main St
237863.758599997,879294.1294,N Main St opp Memorial Pkwy
221911.8081,879311.721500002,Main St @ Gay Ave
221935.1193,879338.192600001,283 Main St
237830.191299997,879368.998799998,N Main St opp Short St
237992.5229,879385.8521,North St @ Short St
223649.516599998,879412.618900001,67 Washington St
240749.708,879430.970699999,N Franklin St @ Damon Ave
240748.830899999,879453.958,N Franklin St opp Damon Ave
223672.657700002,879454.801199999,Opp 67 Washington St
237785.789300002,879463.3695,N Main St @ DiAuto Dr
238052.9045,879480.911899999,88 North St
238056.722499996,879486.680500001,81 North St
229522.486599997,879522.154399998,Washington St from Pequit St to Chapman St (FLAG)
229522.486599997,879522.154399998,Washington St from Chapman St to Lewis St (FLAG)
222174.696500003,879535.2612,Main St @ Mylod St
237741.288400002,879560.246199999,N Main St opp Warren St
222231.834200002,879581.387200002,Opp 177 Main St @ New Pond Village
237730.981700003,879582.789099999,N Main St @ Warren St
238128.528200001,879602.631,North St @ Mill St
240750.531300001,879631.5759,N Franklin St opp Rose Way
238147.358900003,879631.794399999,North St @ Cottage St
240750.978799999,879647.747900002,N Franklin St @ Rose Way
223774.526699997,879648.747099999,Opp 9 Washington St - Norwood Line
223783.146700002,879666.812,9 Washington St - Walpole Line
237670.500299998,879711.076099999,N Main St @ Depot St
237667.093,879718.119800001,N Main St @ Credit Union Way
223824.6699,879766.721700002,1407 Washington St @ DPW Yard
223835.261100002,879793.048900001,Washington St opp Rockhill St
240753.4824,879798.007800002,N Franklin St @ Johns Ave
223851.471299998,879830.072700001,1375 Washington St opp Jacobs Rd
223854.422399998,879836.9965,Washington St @ Jacobs Rd
237607.798799999,879844.959600002,307 N Main St
238291.465400003,879873.3737,203 North St
240740.9595,879875.234099999,N Franklin St @ W Division St
237592.432099998,879877.621800002,N Main St @ Pleasant St
238301.532600001,879891.584100001,168 North St
237555.1219,879953.712499999,N Main St @ West St
237541.847400002,879980.503800001,N Main St @ Park St
223921.274499997,879988.663,Washington St opp Mylod St
230444.299500003,880730.691,Washington St - Pleasant St to Pecunit St (FLAG)
222899.581900001,880737.632800002,Walpole St @ Olde Derby Rd
222901.575199999,880744.778700002,508 Walpole St opp Old Derby Rd
230457.0735,880746.382800002,Washington St - Pecunit St to Pleasant St (FLAG)
224242.576499999,880758.561799999,Washington St @ Austin St
237230.095700003,880759.4186,571 N Main St
245154.145,880795.8204,Opp 85 Columbian St
238547.054799996,880797.433899999,455 North St opp Dyer Ave
237212.110299997,880801.554099999,564 N Main St
238565.295599997,880807.105099998,North St @ Dyer Ave
240153.026,880827.1382,Washington St opp Foster Rd
240146.293,880845.357,Washington St @ Foster Rd
238654.6285,880863.4976,North St opp McAuliffe Rd
224285.7126,880871.1765,Washington St @ Saint George Ave
238673.020599999,880876.246399999,North St @ McAuliffe Rd
224293.532700002,880892.176600002,Washington St @ Weld Ave
237160.950800002,880920.329799999,618 N Main St opp Vesey Rd
237150.496399999,880945.843400002,Opp 641 N Main St
237150.496399999,880945.843400002,641 N Main St
238758.882200003,880967.556,North St @ Teed Dr
240107.906599998,880974.430199999,Washington St @ Hill View Rd
238770.072099999,880983.647700001,North St @ McDevitt Rd
240098.405699998,881007.666200001,Washington St @ Hill View Rd
224339.592399999,881017.773,Washington St @ Heaton Ave
223000.353,881029.030200001,445 Walpole St @ Wilson St
224347.076499999,881036.747900002,Washington St @ Oolah Ave
244998.841300003,881076.022599999,780 Main St
223045.553300001,881078.09,Opp 445 Walpole St @ Victory Plaza
244999.144900002,881092.317400001,Main St @ Adams Place
238858.976,881129.316599999,North St @ Pictun Rd
240093.005,881153.021299999,Washington St @ Plymouth Rd
224389.941799998,881153.974300001,Washington St @ Dean St
238872.343400002,881155.9967,North St @ Canessa St
224413.5528,881178.3948,Washington St opp Dean St
245005.908200003,881225.176899999,Main St @ Park Ave
237016.073700003,881251.6952,721 N Main St
245009.035499997,881265.850200001,Main St @ Bayley Terrace
237007.563,881270.489399999,Opp 683 N Main St
240169.134300001,881325.457199998,Washington St opp Mass Ave
224506.354800001,881327.445799999,Washington St @ Lenox St
240173.274400003,881331.961100001,Washington St @ Park Ave
238955.924900003,881360.8158,North St opp Brewster Rd
238961.4582,881379.700599998,North St @ Brewster Rd
223544.628600001,881412.276799999,Walpole St opp Hillshire Ln
223551.303499997,881415.779100001,Walpole St @ Hillshire Ln
240245.744599998,881450.979400001,Washington St @ Bellevue Ave
236913.299699999,881460.276500002,opp 721 N Main St
240258.241899997,881468.956300002,Washington St opp Bellevue Ave
238978.307,881490.457899999,North St opp Scannel Rd
224507.061499998,881496.603,929 Washington St
238975.836199999,881520.053599998,North St @ Scannel Rd
236860.830200002,881555.742400002,N Main St @ Francis Dr
236850.593099996,881574.254900001,800 N Main St
224512.945299998,881609.828600001,Washington St @ Walnut St
224513.259199999,881616.9111,930 Washington St opp Walnut Ave
244990.154200003,881665.6175,Opp 650 Main St
244990.154200003,881665.6175,650 Main St
236778.097499996,881704.1329,N Main St @ Oak St
236746.181100003,881762.680100001,N Main St @ Chestnut St
231227.4485,881781.915899999,Washington St - Pecunit St to Turnpike St (FLAG)
231232.6985,881789.107,Washington St - Turnpike St to Pecunit St (FLAG)
240578.451700002,881818.864,Washington St @ Peach St
240594.334399998,881843.0858,Washington St opp Peach St
224536.045400001,881860.71,863 Washington St @ Douglas Ave
238884.058300003,881900.518800002,North St @ Randolph Rd
223988.363200001,881915.6129,Walpole St @ Elliot St
223998.752499998,881924.6569,Walpole St @ Brookfield Rd
238867.321099997,881937.730900001,North St @ Oak St
224544.440899998,881946.158799998,Washington St @ East Hoyle St
244975.758,881983.3266,Opp 561 Main St
244975.295500003,881994.5856,561 Main St
236620.098899998,882008.835700002,901 N Main St
238839.773599997,882057.889,North St opp Broad St
238836.170199998,882076.870900001,North St @ Broad St
236582.773699999,882082.224199999,N Main St @ Gordon St
224562.306400001,882161.4406,785 Washington St @ Norwood Hospital
224562.306400001,882161.4406,Washington St @ Norwood Hospital
236524.096199997,882199.359,969 N Main St
238815.723899998,882200.639899999,North St opp Isabell Circle
238815.127800003,882220.097399998,North St @ Isabell Circle
236507.365,882231.213599999,N Main St @ Intervale Terr
240709.613200001,882260.276900001,Washington St opp Hancock St
240709.613200001,882260.276900001,Washington St opp Braxton St
245218.107600003,882286.8596,Middle St opp Mediterranean Dr
245222.499799997,882291.180300001,Middle St @ Mediterranean Dr
236469.848399997,882307.695300002,N Main St opp Intervale Terr
224578.0066,882357.287799999,Washington St @ Guild St
224578.0066,882357.287799999,Washington St @ Guild St
238834.133199997,882368.739700001,North St opp Maitland Ave
240733.921099998,882384.482500002,355 Hancock St
238838.588200003,882390.528,North St @ Maitland Ave
245322.333,882403.719799999,Middle St opp Rockaway Ave
245322.333,882403.719799999,Middle St @ Rockaway Ave
236418.766599998,882409.946699999,1034 N Main St
236411.043300003,882424.8741,Opp 1048 N Main St
227790.944499999,889600.390900001,Washington St @ Sumner St
238582.0101,889601.600099999,Adams St @ Robertson St
231301.612,889601.684700001,River St @ McGrath Way
230857.5079,889604.114300001,Gordon Ave @ Summer St
249453.831799999,889604.783799998,Downer Ave @ Governor Long Rd
237399.577799998,892706.187600002,Gallivan Blvd @ Hallet St
233698.7,892706.645399999,Blue Hill Ave @ Morton St
239212.067299999,892707.463,E Squantum St @ Atlantic St
233683.807599999,892707.759500001,Blue Hill Ave @ Morton St
231966.834200002,892711.334600002,American Legion Hwy @ Army Reserve
233719.338699996,892716.404899999,Morton St @ Blue Hill Ave
234528.140500002,892717.6877,247 Norfolk St opp Capen St
234535.922399998,892721.690099999,Norfolk St @ Capen St
230931.072400004,892722.407400001,Cummins Hwy. @ Sycamore St.
227240.474399999,892722.452500001,Vermont St @ Baker St
235965.396799996,892724.414099999,Ashmont Station
230926.540600002,892727.437199999,Cummins Hwy @ Sycamore St
239209.005800001,892727.741700001,E Squantun St @ Atlantic St
227842.846500002,892740.873100001,Lagrange St @ Pender St
227839.077299997,892745.233199999,Lagrange St opp Pender St
233642.250299998,892753.658500001,Morton St @ Blue Hill Ave
235339.655900002,892764.7502,Washington St @ Armandine St
232028.043300003,892768.713100001,American Legion Hwy opp Shopping Center
221795.503200002,892770.359299999,Highland Ave @ Oakland Ave
235341.932,892772.064399999,Washington St opp Armandine St
238369.662,880022.854600001,North St @ Seton Way
238377.292800002,880040.597800002,North St opp Seton Way
240618.423699997,880074.692499999,Washington St @ Water St
240607.418399997,880091.4276,Washington St @ Roosevelt St
237483.150399998,880110.9384,N Main St @ Roel St
237475.793200001,880128.171,N Main St opp Roel St
223996.955700003,880141.8094,Washington St @ Morse St
224005.385899998,880158.970100001,1297 Washington St opp. Morse St.
240547.178,880180.2163,Washington St @ Main St
240543.193899997,880186.121,2052 Washington St
237438.847800002,880216.181400001,N Main St @ Mt Pleasant Sq
238426.236299999,880246.614300001,North St opp Cochato Pk
238426.977700002,880252.3299,North St @ Cochato Pk
237421.164099999,880261.183600001,N Main St @ Wales Ave
229806.2412,880279.1032,Washington St - Chapman St to Pleasant St (FLAG)
229823.251599997,880288.8123,Washington St - Pleasant St to Chapman St (FLAG)
245017.901299998,880295.6855,Pleasant St @ Main St
240433.944499999,880347.059500001,Washington St @ Olympus Specialty Hospital
224082.405699998,880348.084899999,Washington St @ Short St
222720.522399999,880354.712200001,Walpole St @ Garden Pkwy
222723.8068,880361.229400001,Walpole St opp Garden Pkwy
240418.118,880370.214600001,Washington St @ Virginia Rd
237366.509300001,880418.8519,N Main St @ Jasper Ln
238424.830700003,880450.764600001,362 North St
237355.507600002,880451.110199999,N Main St @ School Ln
224143.006700002,880498.491300002,Washington St @ Alandale Pkwy
237315.863300003,880552.828600001,N Main St @ Grove St
237309.333700001,880568.7579,N Main St @ Liberty St
238413.405299999,880600.790399998,North St @ Central Cemetery
224189.375399999,880614.566500001,Washington St @ Concord Ave
224194.397600003,880627.2962,Washington St @ Saint John Ave
238412.654399998,880633.673099998,North St opp Liberty St
244991.5766,880679.6963,Opp 861 Main St
245265.441100001,880684.779100001,Opp 41 Columbian St
240209.946199998,880690.128199998,Washington St @ South St
238433.500399999,880705.9782,North St @ Liberty St
240199.089900002,880717.0788,Washington St @ Brewster Ave
224230.761600003,880725.935899999,1182 Washington St @ Balch School
238453.237499997,880730.4844,North St @ Truman Dr
238019.018700004,876555.638,701 S Main St
229071.646600001,876653.203499999,"Cobbs Corner, Canton"
240750.931699999,876716.990800001,S Franklin St opp Hillsdale Rd
240740.9221,876732.483399998,S Franklin St @ Hillsdale Rd
237979.067199998,876860.638500001,S Main St @ Karen Dr
240673.005599998,876888.715300001,S Franklin St @ Dresser Ave
240667.302599996,876906.454500001,S Franklin St @ Dresser Ave
237961.9815,876940.767299999,S Main St @ Frederickson Dr
237958.279700004,876960.983800001,625 S Main St opp Frederickson Dr
237921.857900001,877126.2696,S Main St @ Woodlawn Rd
237917.058399998,877145.2148,S Main St opp Woodlawn Rd
240601.919500001,877148.744600002,S Franklin St opp Walsh Rd
228999.083,877149.162700001,Washington St from High St to Cobbs Corner (FLAG)
228998.669100001,877159.399,Washington St from Cobbs Corner to High St (FLAG)
240599.653099999,877168.606800001,S Franklin St @ Walsh Rd
237898.787299998,877216.658300001,S Main St @ Centre St
237893.078699999,877236.8693,S Main St opp Centre St
222311.308600001,877296.288400002,625 Washington St
222314.796899997,877301.542399999,624 Washington St opp Bird Middle School
240609.151699997,877363.7344,S Franklin St opp King Rd
237861.4274,877368.9921,Opp 530 S Main St
237859.081900001,877377.335700002,498 S Main St
240610.389,877380.559300002,S Franklin St @ King Rd
220464.2918,877384.217,Main St @ Stone St
220468.427599996,877391.315699998,Main St @ Glenwood St
220150.655,877416.305399999,Walpole Station Elm St Lot
220150.655,877416.305399999,Walpole Station Elm St Lot
220500.146700002,877430.3013,935 East St
220506.888700001,877430.600900002,East St @ Main St
220749.458800003,877438.371800002,East St @ School St
220769.4877,877438.7392,East St @ School St
220940.757799998,877445.257,East St @ Diamond St
220959.778499998,877446.002300002,East St @ Hartshorn Ave
221235.751100004,877455.898499999,East St @ Eastover Rd
240612.465700001,877456.1899,261 S Franklin St
221256.6131,877456.7806,777 East St opp. Eastover Rd.
